Time, X, Y, Z
5.325,-0.014457,1.252096,0.314716
5.333333,-0.014537,1.252011,0.313838
5.341667,-0.014231,1.25205,0.313261
5.35,-0.013506,1.252256,0.312811
5.358333,-0.012542,1.252599,0.31254
5.366667,-0.011318,1.253046,0.312369
5.375,-0.009856,1.253543,0.3123
5.383333,-0.008216,1.254102,0.312243
5.391667,-0.006517,1.254696,0.312155
5.4,-0.004769,1.255335,0.312211
5.408333,-0.003091,1.255969,0.312455
5.416667,-0.001432,1.256607,0.312666
5.425,7.7E-5,1.25725,0.31302
5.433333,0.001611,1.257722,0.313519
5.441667,0.003143,1.258013,0.314064
5.45,0.004408,1.258556,0.314125
5.458333,0.00546,1.259109,0.314125
5.466667,0.006554,1.259698,0.314388
5.475,0.007485,1.260178,0.315031
5.483333,0.008564,1.260567,0.315342
5.491667,0.009706,1.261017,0.315551
5.5,0.010875,1.261473,0.315774
5.508333,0.01206,1.261961,0.31594
5.516667,0.013392,1.262425,0.316169
5.525,0.014745,1.262823,0.31641
5.533333,0.016256,1.263134,0.31673
5.541667,0.017863,1.263391,0.317079
5.55,0.019544,1.26352,0.317564
5.558333,0.021424,1.26352,0.318011
5.566667,0.023405,1.263406,0.318509
5.575,0.025556,1.263152,0.318951
5.583333,0.027789,1.262777,0.319486
5.591667,0.030115,1.262391,0.320009
5.6,0.032505,1.26196,0.320555
5.608333,0.034843,1.261449,0.321196
5.616667,0.037264,1.260874,0.321777
5.625,0.039564,1.260283,0.322386
5.633333,0.041892,1.259687,0.322981
5.641667,0.044099,1.259102,0.323534
5.65,0.046245,1.258622,0.324122
5.658333,0.04841,1.258205,0.324488
5.666667,0.050457,1.257815,0.324837
5.675,0.05256,1.25745,0.324984
5.683333,0.054566,1.25703,0.325131
5.691667,0.056482,1.256557,0.325211
5.7,0.058499,1.255951,0.32535
5.708333,0.060416,1.255259,0.325607
5.716667,0.062545,1.254423,0.325814
5.725,0.064737,1.25349,0.326052
5.733333,0.067056,1.25258,0.326233
5.741667,0.069509,1.251641,0.326466
5.75,0.071999,1.250765,0.326682
5.758333,0.074522,1.250011,0.326884
5.766667,0.077063,1.249469,0.326947
5.775,0.07962,1.249093,0.32698
5.783333,0.082112,1.248952,0.327035
5.791667,0.0845,1.249003,0.327111
5.8,0.086892,1.249221,0.327142
5.808333,0.089248,1.249533,0.327184
5.816667,0.091549,1.24979,0.3273
5.825,0.093809,1.250086,0.327453
5.833333,0.096002,1.250327,0.327557
5.841667,0.098132,1.250467,0.327757
5.85,0.100086,1.250581,0.32786
5.858333,0.101961,1.250568,0.327916
5.866667,0.103639,1.250512,0.327884
5.875,0.105217,1.250354,0.327813
5.883333,0.106574,1.250209,0.327692
5.891667,0.107919,1.250047,0.327466
